,y,N,i,d,K,x
363,0.659,4905,1,0,2,2
364,0.193,4905,1,0,2,2
365,0.726,4905,1,0,2,2
366,2.12,4905,1,0,2,2
367,0.296,4905,1,0,2,2
368,0.192,4905,1,0,2,2
369,0.467,4905,1,0,2,2
370,0.81,4905,1,0,2,2
371,0.059000000000000004,4905,1,0,2,2
372,1.0210000000000001,4905,0,0,2,2
373,0.492,4905,0,0,2,2
374,0.28400000000000003,4905,0,0,2,2
375,0.884,4905,1,1,2,2
376,0.063,4905,1,1,2,2
377,0.581,4905,1,1,2,2
378,0.225,4905,1,0,2,2
379,0.36,4905,1,0,2,2
380,0.133,4905,1,0,2,2
381,0.259,4905,1,0,2,2
382,0.617,4905,1,1,2,2
383,0.358,4905,1,1,2,2
384,1.448,4905,1,1,2,2
385,0.147,4905,1,1,2,2
386,0.214,4905,0,0,2,2
387,0.328,4905,0,0,2,2
388,0.165,4905,0,0,2,2
389,0.09,4905,1,0,2,2
390,0.296,4905,1,0,2,2
391,0.225,4905,1,0,2,2
392,0.182,4905,1,0,2,2
393,0.059000000000000004,4905,1,0,2,2
394,0.117,4905,1,0,2,2
395,2.7350000000000003,4905,0,1,2,2
396,0.27,4905,0,1,2,2
397,0.36,4905,0,0,2,2
398,0.45,4905,1,1,2,2
399,0.151,4905,0,1,2,2
400,2.677,4905,0,1,2,2
401,0.374,4905,0,1,2,2
402,0.554,4905,0,1,2,2
403,0.10300000000000001,4905,0,1,2,2
404,0.966,4905,0,1,2,2
405,0.089,4905,0,1,2,2
406,1.241,4905,0,1,2,2
407,0.882,4905,0,1,2,2
408,0.198,4905,0,1,2,2
409,0.342,4905,0,1,2,2
410,0.105,4905,0,1,2,2
411,0.359,4905,0,1,2,2
412,0.9750000000000001,4905,1,1,2,2
413,0.806,4905,1,1,2,2
414,2.7,4905,0,1,2,2
415,0.20700000000000002,4905,0,1,2,2
416,0.437,4905,0,1,2,2
417,0.51,4905,0,0,2,2
418,0.7020000000000001,4905,0,0,2,2
419,0.06,4905,0,0,2,2
420,0.41600000000000004,4905,0,0,2,2
421,0.775,4905,0,0,2,2
422,3.387,4905,0,1,2,2
423,0.301,4905,0,1,2,2
424,0.063,4905,0,1,2,2
425,0.509,4905,0,1,2,2
426,0.057,4905,1,0,2,2
427,0.5700000000000001,4905,1,0,2,2
428,0.225,4905,1,0,2,2
429,0.18,4905,0,0,2,2
430,0.281,4905,0,0,2,2
431,0.58,4905,0,0,2,2
432,0.9450000000000001,4905,1,1,2,2
433,0.061,4905,1,1,2,2
434,0.221,4905,1,1,2,2
435,0.389,4905,1,1,2,2
436,0.661,4905,1,1,2,2
437,3.5200000000000005,4905,1,1,2,2
438,0.559,4905,1,1,2,2
439,1.435,4905,1,1,2,2
440,0.51,4905,1,1,2,2
441,0.612,4905,1,1,2,2
442,0.33399999999999996,4905,1,1,2,2
443,2.0189999999999997,4905,1,0,2,2
444,0.134,4905,1,0,2,2
445,0.34700000000000003,4905,1,0,2,2
446,1.828,4905,1,1,2,2
447,0.9750000000000001,4905,1,1,2,2
448,0.51,4905,0,1,2,2
449,0.281,4905,0,1,2,2
450,0.089,4905,0,1,2,2
451,0.252,4905,0,1,2,2
452,1.137,4905,1,0,2,2
453,0.33,4905,1,0,2,2
454,0.27,4905,1,0,2,2
455,0.10400000000000001,4905,1,0,2,2
456,0.179,4905,1,0,2,2
457,0.42,4905,1,0,2,2
458,0.153,4905,1,0,2,2
459,0.09,4905,1,0,2,2
460,1.786,4905,1,0,2,2
461,0.296,4905,1,0,2,2
462,0.135,4905,1,0,2,2
463,1.4090000000000003,4905,0,1,2,2
464,0.179,4905,0,1,2,2
465,0.20700000000000002,4905,1,0,2,2
466,0.41700000000000004,4905,1,0,2,2
467,0.375,4905,1,0,2,2
468,0.29600000000000004,4905,1,0,2,2
469,0.057,4905,1,0,2,2
470,0.264,4905,0,1,2,2
471,0.146,4905,0,1,2,2
472,0.767,4905,1,0,2,2
473,0.27,4905,1,0,2,2
474,1.095,4905,1,0,2,2
475,0.332,4905,1,0,2,2
476,0.136,4905,1,0,2,2
477,0.30000000000000004,4905,1,0,2,2
478,0.679,4905,1,0,2,2
479,0.361,4905,1,0,2,2
480,0.15,4905,1,0,2,2
481,0.195,4905,1,0,2,2
482,0.511,4905,0,1,2,2
483,0.181,4905,0,1,2,2
484,0.78,4905,0,1,2,2
485,0.405,4905,0,1,2,2
486,1.008,4905,0,1,2,2
487,0.483,4905,0,1,2,2
488,0.193,4905,0,1,2,2
489,0.9730000000000001,4905,0,1,2,2
490,0.776,4905,0,1,2,2
491,0.372,4905,1,0,2,2
492,0.977,4905,1,0,2,2
493,0.28800000000000003,4905,0,0,2,2
494,0.361,4905,0,0,2,2
495,0.192,4905,0,0,2,2
496,0.975,4905,1,0,2,2
497,0.151,4905,1,0,2,2
498,2.334,4905,1,0,2,2
499,0.152,4905,1,0,2,2
500,0.5810000000000001,4905,1,0,2,2
501,0.117,4905,1,0,2,2
502,0.065,4905,1,0,2,2
503,0.522,4905,1,1,2,2
504,0.662,4905,1,1,2,2
505,0.135,4905,1,1,2,2
506,0.317,4905,1,1,2,2
507,0.601,4905,0,1,2,2
508,0.675,4905,0,1,2,2
509,0.15,4905,0,1,2,2
510,0.45,4905,0,0,2,2
511,0.46,4905,0,0,2,2
512,0.403,4905,0,0,2,2
513,0.315,4905,0,0,2,2
514,0.225,4905,0,0,2,2
515,0.405,4905,0,0,2,2
516,1.148,4905,0,0,2,2
517,0.512,4905,0,0,2,2
518,0.8370000000000001,4905,1,0,2,2
519,0.212,4905,1,0,2,2
520,0.32699999999999996,4905,1,0,2,2
521,0.09,4905,1,0,2,2
522,0.34099999999999997,4905,1,0,2,2
523,1.41,4905,0,0,2,2
524,0.405,4905,0,0,2,2
525,0.771,4905,0,0,2,2
526,0.297,4905,0,0,2,2
527,0.332,4905,0,0,2,2
528,1.0070000000000001,4905,0,0,2,2
529,0.078,4905,0,0,2,2
530,0.8210000000000001,4905,0,0,2,2
531,0.11900000000000001,4905,1,1,2,2
532,0.706,4905,1,1,2,2
533,0.195,4905,1,1,2,2
534,0.586,4905,1,0,2,2
535,0.751,4905,1,0,2,2
536,0.33,4905,1,0,2,2
537,0.196,4905,1,0,2,2
538,0.631,4905,1,0,2,2
539,0.09,4905,0,0,2,2
540,1.036,4905,0,0,2,2
541,0.061,4905,0,0,2,2
542,0.465,4905,0,0,2,2
543,0.795,4905,0,0,2,2
544,1.588,4905,0,1,2,2
545,0.764,4905,1,1,2,2
546,1.261,4905,0,1,2,2
